ANO;NOME;ESCOLA;CIDADE;ESTADO;PREMIO;;
2006;Amanda Oliveira de Souza Rosa;Especial Academia de Ballet;São Paulo;SP;Melhor Bailarina;;24
2006;Irian Santos da Silva;Centro de Dança Rio;Rio de Janeiro;RJ;Melhor Bailarino;;38
2006;;Escola Estadual Dança Maria Olenewa;Rio de Janeiro;RJ;Melhor Grupo;;65
2006;Luiz Gonzaga Coelho;;São José dos Campos;SP;Iluminador Revelação;;93
2007;Eduardo Fonseca Menezes;Grupo Art & Dança;Canoas;RS;Coreógrafo Revelação;;6
2007;Flávia Gomes de Oliveira Carlos;Companhia do Conservatório;Rio de Janeiro;RJ;Melhor Bailarina;;25
2007;Yoshi Engracia Suzuki;Núcleo Dansh;Embuguaçu;SP;Melhor Bailarino;;39
2007;;Grupo de Dança Millennium;Itajaí;SC;Melhor Grupo;;66
2007;Camila Rocha de Caso;Cia Pavilhão D;São Paulo;SP;Troféu Revelação;;87
2008;Airton Rodrigues;Soma 3;Curitiba;PR;Coreógrafo Revelação;;7
2008;Érica Rosendo;Taipas Cia de Dança;Natal;RN;Melhor Bailarina;;26
2008;Douglas Ruthes Ramalho;Soma 3;Curitiba;PR;Melhor Bailarino;;40
2008;;Companhia do Conservatório;Rio de Janeiro;RJ;Melhor Grupo;;67
2008;Luiza Marques;Ballet Aracy de Almeida;São Paulo;SP;Troféu Revelação;;88
2009;Jhean Alex Filó;Ballet Aracy de Almeida;São Paulo;SP;Coreógrafo Revelação;;8
2009;Pâmela de Souza Valim;Ballet Aracy de Almeida;São Paulo;SP;Melhor Bailarina;;27
2009;Daniel Henrique Camargo Otto;Stúdio Art;Curitiba;PR;Melhor Bailarino;;41
2009;;Companhia do Conservatório;Rio de Janeiro;RJ;Melhor Grupo;;68
2009;;Ballet Aracy de Almeida;São Paulo;SP;Troféu Revelação;;89
2010;Henry Camargo;Cia de Dança Kahal;Jundiai;SP;Coreógrafo Revelação;;9
2010;Mayara Magri;Cia Petite Danse;Rio de Janeiro;RJ;Melhor Bailarina;;28
2010;Alexandre Nascimento;Cia Pavilhão D;São Paulo;SP;Melhor Bailarino;;42
2010;;Cia Pavilhão D;São Paulo;sp;Melhor Grupo;;69
2010;;Grupo Folclórico Ítalo Brasileiro de Nova Veneza;Nova Veneza;SC;Troféu Revelação;;90
2011;Edson Santos;Companhia Independente de São Paulo;São Paulo;SP;Coreógrafo Revelação;;10
2011;Paula Cristina Alves;Especial Academia de Ballet;São Paulo;SP;Melhor Bailarina;;29
2011;Felipe Rosa Carsoso;Maniacs Crew;Joinville;PR;Melhor Bailarino;;43
2011;;Escola de Dança Petite Danse;Rio de Janeiro;RJ;Melhor Grupo;;70
2011;Simone Malta;Centro Cultural Gustavo Ritter;Goiania;GO;Troféu Revelação;;91
2012;;GRUPO FOLCLÓRICO POLONÊS – JUPEM;Erechim;RS;Melhor Grupo;;
